name,country,status,n_stations,station_type,n_capacity_nan,n_capacity_zero,capacity_median,capacity_unique_values,A1_n_stations,A1_share_pct,A3_n_stations,A3_share_pct,A4_n_stations,A4_share_pct,A2_flagged,A5_flagged,A6_flagged,A7_flagged,url,elapsed_s,a7_share,eligible,filter_reason,tier,tier1_archive_url
Ecobici,AR,ok,392.0,docked_bike,0.0,0.0,20.0,13.0,0.0,0.0,0.0,0.0,6.0,1.53,False,False,False,False,https://buenosaires.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,2.2,0.0,True,,T1,https://ecobici.cdmx.gob.mx/datos-abiertos/
Bike Itaú - Pernambuco,BR,ok,90.0,docked_bike,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,6.0,6.67,False,False,False,False,https://recife.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,3.6,0.0,True,,T1,https://tembici.com.br/dados-abertos/
Bike Itaú - Rio,BR,ok,405.0,docked_bike,0.0,0.0,16.0,19.0,0.0,0.0,0.0,0.0,4.0,0.99,False,False,False,False,https://riodejaneiro.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,19.7,0.0,True,,T1,https://tembici.com.br/dados-abertos/
Bike Itaú - Salvador,BR,ok,74.0,docked_bike,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,2.0,2.7,False,False,False,False,https://salvador.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.9,0.0,True,,T1,https://tembici.com.br/dados-abertos/
Bike Itaú - Sampa,BR,ok,240.0,docked_bike,0.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0,1.0,0.42,False,False,False,False,https://saopaulo.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,2.2,0.0,True,,T1,https://tembici.com.br/dados-abertos/
Bike Share Toronto,CA,ok,1033.0,docked_bike,0.0,0.0,17.0,47.0,0.0,0.0,0.0,0.0,21.0,2.03,False,False,False,False,https://toronto.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.4,0.0,True,,T1,https://open.toronto.ca/dataset/bike-share-toronto-ridership-data/
BIXI Montréal,CA,ok,1059.0,docked_bike,0.0,1.0,21.0,44.0,0.0,0.0,0.0,0.0,43.0,4.06,False,True,False,False,https://gbfs.velobixi.com/gbfs/gbfs.json,2.7,0.0,True,,T1,https://bixi.com/en/open-data
Mobi Bike Share,CA,ok,262.0,docked_bike,0.0,2.0,18.0,21.0,0.0,0.0,0.0,0.0,3.0,1.15,False,False,False,False,https://gbfs.kappa.fifteen.eu/gbfs/2.2/mobi/en/gbfs.json,2.6,0.0,True,,T1,https://www.mobibikes.ca/en/system-data
Bicing,ES,ok,545.0,docked_bike,0.0,2.0,27.0,39.0,0.0,0.0,0.0,0.0,1.0,0.18,False,False,False,False,https://barcelona.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.3,0.0,True,,T1,https://opendata-ajuntament.barcelona.cat/data/en/dataset/estacions-bicing
Vélomagg,FR,ok,52.0,docked_bike,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,4.0,7.69,False,False,False,False,https://gbfs.theta.fifteen.eu/gbfs/montpellier/gbfs.json,0.2,0.0,True,,T1,open release via TAM Montpellier
Ecobici,MX,ok,677.0,docked_bike,0.0,0.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.mex.lyftbikes.com/gbfs/gbfs.json,1.6,0.0,True,,T1,https://ecobici.cdmx.gob.mx/datos-abiertos/
Mibici Guadalajara,MX,ok,369.0,docked_bike,0.0,2.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://guadalajara.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.9,0.0,True,,T1,https://www.mibici.net/es/datos-abiertos/
Bay Wheels,US,ok,628.0,docked_bike,0.0,0.0,23.0,38.0,0.0,0.0,0.0,0.0,3.0,0.48,False,False,False,False,https://gbfs.baywheels.com/gbfs/2.3/gbfs.json,1.2,0.0,True,,T1,https://s3.amazonaws.com/baywheels-data/
BIKETOWN,US,ok,274.0,docked_bike,0.0,0.0,10.0,24.0,0.0,0.0,0.0,0.0,4.0,1.46,False,False,False,False,https://gbfs.biketownpdx.com/gbfs/2.3/gbfs.json,1.0,0.0,True,,T1,https://www.biketownpdx.com/system-data
Blue Bikes,US,ok,597.0,docked_bike,0.0,0.0,17.0,29.0,0.0,0.0,0.0,0.0,12.0,2.01,False,False,False,False,https://gbfs.bluebikes.com/gbfs/gbfs.json,1.1,0.0,True,,T1,https://s3.amazonaws.com/hubway-data/
Capital Bike Share,US,ok,829.0,docked_bike,0.0,0.0,15.0,33.0,0.0,0.0,0.0,0.0,38.0,4.58,False,False,False,False,https://gbfs.capitalbikeshare.com/gbfs/2.3/gbfs.json,1.1,0.0,True,,T1,https://s3.amazonaws.com/capitalbikeshare-data/
CapMetro,US,ok,84.0,docked_bike,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,3.0,3.57,False,False,False,False,https://austin.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.8,0.0,True,,T1,https://data.austintexas.gov/Transportation-and-Mobility/Austin-MetroBike-Trips/tyfh-5r8s
Citi Bike,US,ok,2406.0,docked_bike,0.0,59.0,24.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,https://gbfs.citibikenyc.com/gbfs/2.3/gbfs.json,1.1,0.0,True,,T1,https://s3.amazonaws.com/tripdata/
Divvy,US,ok,1999.0,docked_bike,0.0,0.0,11.0,38.0,0.0,0.0,0.0,0.0,5.0,0.25,False,False,False,False,https://gbfs.divvybikes.com/gbfs/2.3/gbfs.json,1.2,0.0,True,,T1,https://divvy-tripdata.s3.amazonaws.com/
Nike Biketown,US,ok,25.0,docked_bike,0.0,0.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://nike.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.2,0.0,True,,T1,https://www.biketownpdx.com/system-data
