feature,importance
station,74637.8074760437
network_volume,42265.01521136612
network_gini,32685.299398988485
hour,13620.615514166653
network_entropy,9685.475152499974
month,4353.967462606728
temperature,2940.3387238904834
day_of_week,2795.7571743130684
feels_like,2280.688349671662
humidity,2277.6162228286266
wind_speed,2006.6758613064885
cloud_cover,1236.87698931247
season,456.4704736098647
precipitation,243.90229308605194
bad_weather_score,76.7149915471673
is_raining,0.0
is_heavy_rain,0.0
