code_commune,nom,population,IMD4_national,income_median,IES,poverty_rate
02154,Chacrise,375.0,-0.1600993136466539,22240.0,-0.20742805221072672,
02155,Chaillevois,201.0,-0.1110610635689891,24300.0,-0.1555817963864539,
02156,Chalandry,234.0,-0.1589338701622406,20700.0,-0.20310811393978495,
02157,Chambry,827.0,-0.110095672292787,22440.0,-0.15115937611416452,
02158,Chamouille,272.0,0.0940381030179012,21760.0,0.08136482064133228,
02159,Champs,313.0,-0.1538894974018713,20810.0,-0.19761552444294606,
02160,Chaourse,495.0,-0.1644330104424368,19710.0,-0.2072887305267498,
02162,La Chapelle-sur-Chézy,301.0,-0.1498868737930518,23470.0,-0.19810993860947856,
02163,Charly-sur-Marne,2594.0,-0.0968047817722326,21500.0,-0.13431492236422282,15.0
02164,Le Charmel,323.0,-0.1550061826494894,22620.0,-0.2023669068885227,
02165,Charmes,1568.0,-0.0434171449115968,20900.0,-0.0726554982192955,
02166,Chartèves,361.0,-0.1459596680121888,24770.0,-0.19591491872636213,
02167,Chassemy,895.0,-0.1156049267740271,23340.0,-0.15904398052811702,
02168,Château-Thierry,15097.0,0.633876632211741,19150.0,0.6982221824060977,27.0
02170,Châtillon-sur-Oise,125.0,-0.0622523410033144,24780.0,-0.10111014122570541,
02171,Chaudardes,91.0,-0.1781728704611477,24500.0,-0.23194709198776509,
02172,Chaudun,238.0,-0.1625041024232317,24190.0,-0.2136655733751651,
02173,Chauny,11596.0,0.8172368646887911,18580.0,0.9071914212075793,29.0
02174,Chavignon,859.0,-0.119856850046274,22600.0,-0.16251360896970082,
02175,Chavigny,153.0,-0.1603948434538939,21230.0,-0.20581992217401923,
02176,Chavonne,214.0,-0.1300419241661086,20760.0,-0.17050100471320928,
02177,Chérêt,147.0,-0.1468579648270459,23250.0,-0.1942851650632803,
02178,Chermizy-Ailles,127.0,-0.1706131697348998,22740.0,-0.2202673091067083,
02179,Chéry-Chartreuve,378.0,-0.1632471775631178,23450.0,-0.21320853208945426,
02180,Chéry-lès-Pouilly,742.0,-0.1439947775561847,22150.0,-0.18901570914673146,
02182,Chevennes,136.0,-0.1711386818555033,20280.0,-0.21607652623210447,
02183,Chevregny,197.0,-0.1324910400189156,24510.0,-0.18021687012061569,
02184,Chevresis-Monceau,329.0,-0.1787192107380312,21220.0,-0.22655763026084597,
02185,Chézy-en-Orxois,389.0,-0.1697335130260862,23140.0,-0.2199997886427691,
02186,Chézy-sur-Marne,1296.0,0.3027491069734381,24080.0,0.31355262097301484,
02187,Chierry,1195.0,-0.0442729820750468,24590.0,-0.08042179434410261,
02188,Chigny,140.0,-0.1949783424873188,20520.0,-0.24357333049182958,
02189,Chivres-en-Laonnois,359.0,-0.165235189081769,20150.0,-0.2091203590245878,
02190,Chivres-Val,526.0,-0.1093181199180969,22790.0,-0.15092556287884332,
02191,Chivy-lès-Étouvelles,484.0,-0.0929674368315739,22990.0,-0.1327691575363013,
02192,Chouy,364.0,-0.1819115738580817,22180.0,-0.23202352594786937,
02194,Cilly,173.0,-0.1802164924676591,19560.0,-0.22484852575182473,
02195,Ciry-Salsogne,882.0,-0.1074548727912681,24060.0,-0.15108186574591861,
02196,Clacy-et-Thierret,289.0,2.1933390588416555,25390.0,2.452953057988442,
02197,Clairfontaine,509.0,-0.152057304115091,23510.0,-0.20063973480445757,
02198,Clamecy,243.0,-0.122057328748092,23230.0,-0.16615562455784308,
02199,Clastres,589.0,-0.1217004448819636,21930.0,-0.16334394668328603,
02201,Cœuvres-et-Valsery,467.0,-0.1491442502026753,24510.0,-0.19908122686241125,
02203,Coincy,1308.0,-0.0910215764158083,20580.0,-0.12593565478803717,
02205,Colligis-Crandelain,207.0,-0.1249583812892224,22400.0,-0.16792091394965025,
02207,Commenchon,224.0,-0.1243982986720413,23680.0,-0.1696094678143462,
02208,Concevreux,256.0,-0.1783580530012641,24070.0,-0.23141665726913668,
02209,Condé-en-Brie,654.0,-0.0899702940001092,22080.0,-0.12768575213451133,
02210,Condé-sur-Aisne,352.0,-0.1095305575650056,22960.0,-0.15147687775518728,
02211,Condé-sur-Suippe,357.0,-0.1286827884131436,22530.0,-0.17238173996861778,
02212,Condren,674.0,-0.0386363235766966,22270.0,-0.06989404405262578,
02213,Connigis,306.0,-0.132303093613931,22390.0,-0.17622216141871502,
02215,Corbeny,851.0,-0.1322588847623358,22490.0,-0.17635837212460748,
02216,Corcy,332.0,1.1967582879616443,24090.0,1.3262474042629735,
02217,Coucy-le-Château-Auffrique,990.0,-0.1128613411260854,22120.0,-0.15369184289204943,
02218,Coucy-lès-Eppes,649.0,1.5065842643579506,22440.0,1.6801768482988573,
02219,Coucy-la-Ville,194.0,-0.1568751459836732,20440.0,-0.20024764987870267,
02220,Coulonges-Cohan,443.0,-0.1882492356823435,22040.0,-0.23893797886327278,
02221,Coupru,161.0,-0.1756607657435658,24820.0,-0.22964390710135832,
02223,Courboin,304.0,-0.1734909022120211,21900.0,-0.22195370795581565,
02224,Courcelles-sur-Vesle,352.0,-0.1476055805127835,21440.0,-0.19174402432281107,
02226,Courmelles,1808.0,-0.0625415734867874,22730.0,-0.09782801190540065,
02227,Courmont,126.0,-0.1976268508327253,22630.0,-0.2506650533004023,
02228,Courtemont-Varennes,361.0,-0.1287249532115137,21750.0,-0.17095660662616358,
02230,Couvrelles,174.0,-0.170382155761299,21890.0,-0.21841310198601935,
02231,Couvron-et-Aumencourt,926.0,-0.1234916909376228,20170.0,-0.16187579787532488,
02232,Coyolles,366.0,0.2088272014129817,22930.0,0.209205806275804,
02233,Cramaille,127.0,-0.1878873039093399,22370.0,-0.23914926284811272,
02235,Craonnelle,119.0,-0.1769627420290973,20300.0,-0.22271508759087724,
02236,Crécy-au-Mont,335.0,-0.1616919339532794,20610.0,-0.20605023274257375,
02237,Crécy-sur-Serre,1472.0,-0.1128602594043485,20300.0,-0.15010133403078096,
02238,Crépy,1812.0,0.2273569471451127,20740.0,0.2343921497963049,
02239,Crézancy,1166.0,-0.0852230041786392,20650.0,-0.11950911810585454,
02240,Croix-Fonsomme,183.0,-0.1782729730112257,21140.0,-0.2258942455045673,
02242,Crouttes-sur-Marne,591.0,-0.0932848624946699,23730.0,-0.1344530881825157,
02243,Crouy,3049.0,0.8884092700523033,20820.0,0.9830554160714846,18.0
02245,Cuffies,1733.0,-0.0527682978650339,21430.0,-0.08429512472790603,
02246,Cugny,607.0,-0.1257396206457208,21670.0,-0.16742085089838882,
02248,Cuirieux,152.0,-0.1707529057611616,18830.0,-0.21253840071424848,
