stratum,n_communes,n_with_ies,n_double_penalty,mean_imd4,median_imd4,mean_insee_part_velo
pop_ge_0,34858,31266,362,0.00045220931714349416,-0.14012555281986525,0.9911651154966097
pop_ge_1000,10014,10012,362,0.32969701041987853,-0.049472902246272044,1.6197721303559383
pop_ge_5000,2234,2234,101,1.2049042327060957,0.26466221901687675,2.739155973043361
pop_ge_10000,1038,1038,32,2.048602586436141,0.6002851113965744,3.322141595918145
pop_ge_20000,482,482,11,3.405838688437112,1.291264927140877,3.996548131219097
pop_ge_50000,133,133,4,5.176947296431506,3.170674156118765,5.286532514792164
pop_ge_100000,42,42,1,8.132146963290662,7.431758102825854,7.449870996573344
